Region,Year,Median AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Total_Dias,Good Days_pct,Moderate Days_pct,Unhealthy for Sensitive Groups Days_pct,Unhealthy Days_pct,Very Unhealthy Days_pct,Hazardous Days_pct,Total_Contaminantes,Days CO_pct,Days NO2_pct,Days Ozone_pct,Days SO2_pct,Days PM2.5_pct,Days PM10_pct
Midwest,1980,48.53383458646616,177.7669172932331,80.02255639097744,43.99248120300752,13.082706766917294,1.300751879699248,0.0,27.533834586466167,16.518796992481203,118.69172932330827,153.42105263157896,0.0,0.0,316.16541353383457,56.22592152199763,25.310344827586206,13.914387633769323,4.137931034482759,0.4114149821640904,0.0,316.16541353383457,8.708680142687278,5.224732461355529,37.5410225921522,48.525564803805,0.0,0.0
Midwest,1981,47.67669172932331,183.8421052631579,80.74436090225564,43.49624060150376,12.022556390977444,0.7744360902255639,0.0,26.43609022556391,13.75187969924812,117.06015037593986,163.6315789473684,0.0,0.0,320.8796992481203,57.29315556388688,25.16343698010638,13.555310823160017,3.7467488342667012,0.24134779858003141,0.0,320.8796992481203,8.238629706867869,4.2856808116784215,36.48100850575251,50.9946809757012,0.0,0.0
Midwest,1982,49.03007518796993,184.13533834586465,83.89473684210526,41.3984962406015,11.578947368421053,0.5338345864661654,0.0,26.804511278195488,10.917293233082706,123.84210526315789,159.97744360902254,0.0,0.0,321.54135338345867,57.26645621419384,26.091429907634744,12.875014614755056,3.601075645972173,0.16602361744417163,0.0,321.5413533834586,8.336256284344675,3.3952998947737636,38.51514088623875,49.75330293464282,0.0,0.0
Midwest,1983,48.60629921259842,194.62992125984252,84.62204724409449,46.10236220472441,14.590551181102363,1.7401574803149606,0.0,27.68503937007874,9.188976377952756,136.0236220472441,168.70866141732284,0.0,0.07874015748031496,341.6850393700787,56.96179195280454,24.76609669539568,13.492648753283865,4.270175600313408,0.5092869982025165,0.0,341.6850393700787,8.102502650135964,2.689311886435913,39.80965110383924,49.37548969903674,0.0,0.02304466055215007
Midwest,1984,49.15503875968992,194.63565891472868,83.81395348837209,47.06201550387597,11.294573643410853,0.5581395348837209,0.0,27.899224806201552,9.356589147286822,128.5891472868217,170.71317829457365,0.0,0.8062015503875969,337.3643410852713,57.69301470588236,24.84375,13.949908088235297,3.3478860294117654,0.16544117647058826,0.0,337.3643410852713,8.269761029411764,2.7734375000000004,38.11580882352942,50.602022058823536,0.0,0.23897058823529413
Midwest,1985,45.51700680272109,183.0,75.37414965986395,38.36054421768708,8.748299319727892,0.272108843537415,0.006802721088435374,20.829931972789115,8.877551020408163,117.5374149659864,143.16326530612244,0.0,15.353741496598639,305.7619047619048,59.85049057779162,24.651255923643397,12.54588737846797,2.8611475738091525,0.08899370369546354,0.0022248425923865884,305.76190476190476,6.812468017887735,2.903419583064498,38.44083031125548,46.82181235677575,0.0,5.021469731016531
Midwest,1986,43.804054054054056,189.55405405405406,72.69594594594595,36.472972972972975,7.297297297297297,0.3108108108108108,0.0,21.236486486486488,8.162162162162161,111.3108108108108,139.43243243243242,0.0,26.18918918918919,306.3310810810811,61.87881862496416,23.731168802523325,11.906389924344355,2.382160266449037,0.10146238171912567,0.0,306.33108108108104,6.932527516156783,2.6644903721022564,36.336766879149486,45.516906720779936,0.0,8.549308511811546
Midwest,1987,42.67741935483871,181.03225806451613,71.46451612903226,35.42580645161291,8.187096774193549,0.8451612903225807,0.0064516129032258064,23.483870967741936,8.858064516129032,111.04516129032258,132.5741935483871,0.0,21.0,296.9612903225807,60.96156770731495,24.06526320363249,11.929435790479914,2.756957570227465,0.28460318494861936,0.0021725433965543457,296.9612903225806,7.9080579634578205,2.982902083469117,37.393816941493405,44.64359425579526,0.0,7.071628755784396
Midwest,1988,43.67901234567901,170.46913580246914,68.25925925925925,36.47530864197531,13.679012345679013,2.993827160493827,0.0,22.895061728395063,10.209876543209877,116.41358024691358,123.82098765432099,0.3395061728395062,18.19753086419753,291.8765432098765,58.40453430335843,23.386346332797565,12.49682767955334,4.686574739869724,1.025716944420946,0.0,291.8765432098765,7.8440910244480175,3.4980120125200918,39.88452753574148,42.42238389307166,0.11631841637763304,6.2346671178411315
Midwest,1989,42.18235294117647,184.61764705882354,72.31764705882352,29.935294117647057,6.970588235294118,0.34705882352941175,0.0,21.470588235294116,12.33529411764706,116.58823529411765,119.54705882352941,0.47058823529411764,23.776470588235295,294.1882352941177,62.75493881468447,24.58210029592897,10.17555786611213,2.3694313364792445,0.11797168679516913,0.0,294.18823529411765,7.2982484203791085,4.192993681516436,39.63048868271615,40.636247300647845,0.15996160921378869,8.082060305526674
Midwest,1990,39.344632768361585,193.1581920903955,60.87005649717514,27.418079096045197,5.7175141242937855,0.2598870056497175,0.005649717514124294,19.64406779661017,11.062146892655367,120.15254237288136,111.7909604519774,0.6214689265536724,24.15819209039548,287.4293785310735,67.2019656019656,21.177395577395576,9.539066339066338,1.9891891891891889,0.09041769041769039,0.0019656019656019656,287.42937853107344,6.834398034398034,3.8486486486486484,41.802457002457004,38.8933660933661,0.21621621621621623,8.404914004914005
Midwest,1991,40.69230769230769,180.56593406593407,60.29120879120879,29.54945054945055,8.153846153846153,0.6813186813186813,0.0,17.36263736263736,9.774725274725276,125.87912087912088,102.83516483516483,0.6813186813186813,22.708791208791208,279.2417582417582,64.66294124591714,21.591043248986665,10.5820314037228,2.9199952776356697,0.2439888237377514,0.0,279.2417582417582,6.217779701703987,3.500452559914998,45.07890283735391,36.82657116996577,0.2439888237377514,8.1323049073236
Midwest,1992,36.26519337016575,203.51381215469613,53.110497237569064,21.392265193370164,3.8011049723756907,0.09392265193370165,0.0055248618784530384,17.784530386740332,12.751381215469614,122.56906077348066,100.7513812154696,1.0331491712707181,27.027624309392266,281.91712707182324,72.18923315107688,18.83904599525741,7.588139612362081,1.3483057988907832,0.033315695612126904,0.0019597468007133472,281.9171270718232,6.308424951496268,4.523095616046407,43.476982773825625,35.73794265780862,0.36647265173339605,9.587081349089699
Midwest,1993,36.775956284153004,209.30054644808743,52.2896174863388,20.557377049180328,3.66120218579235,0.09836065573770492,0.0,19.273224043715846,10.650273224043715,133.01639344262296,97.31693989071039,1.2076502732240437,24.442622950819672,285.90710382513663,73.20578735115919,18.28902352783777,7.190229544542344,1.2805565642858507,0.03440301217484375,0.0,285.90710382513663,6.741079107815216,3.725081707153915,46.5243401311137,34.03795799009958,0.422392538368915,8.549148525448672
Midwest,1994,38.10752688172043,198.79569892473117,57.12903225806452,23.467741935483872,4.994623655913978,0.3064516129032258,0.0,19.446236559139784,11.946236559139784,139.11290322580646,90.02688172043011,0.6827956989247311,23.478494623655912,284.69354838709677,69.82796064434498,20.06685173644553,8.243159027817121,1.7543859649122806,0.10764262648008613,0.0,284.69354838709677,6.830585613657394,4.196173965592129,48.864087020565414,31.622382112439336,0.23983532566615676,8.24693596207958
Midwest,1995,36.96808510638298,201.95744680851064,53.98936170212766,21.840425531914892,6.196808510638298,0.6117021276595744,0.0,18.52659574468085,17.079787234042552,141.4255319148936,81.28191489361703,0.6223404255319149,25.659574468085108,284.59574468085106,70.96291866028709,18.970544258373206,7.674192583732058,2.177407296650718,0.2149372009569378,0.0,284.595744680851,6.509793660287083,6.001420454545456,49.693480861244026,28.560481459330152,0.21867523923444981,9.016148325358854
Midwest,1996,36.42780748663102,206.10160427807486,51.705882352941174,20.06417112299465,5.2032085561497325,0.3422459893048128,0.0053475935828877,14.294117647058824,15.796791443850267,141.33155080213905,85.40641711229947,0.5989304812834224,25.994652406417114,283.4224598930481,72.71886792452831,18.243396226415097,7.079245283018869,1.835849056603774,0.12075471698113208,0.0018867924528301887,283.4224598930482,5.043396226415093,5.573584905660376,49.86603773584905,30.133962264150938,0.21132075471698106,9.171698113207546
Midwest,1997,35.654639175257735,208.46391752577318,52.6958762886598,17.871134020618555,3.5876288659793816,0.1958762886597938,0.0,12.010309278350515,14.268041237113403,148.4742268041237,81.00515463917526,1.056701030927835,26.0,282.8144329896907,73.7104946597164,18.63266868370211,6.319031822986913,1.2685451828090257,0.06925965078555026,0.0,282.8144329896907,4.246710166587687,5.045018773010608,52.49881529544709,28.642510844603216,0.3736375897641527,9.193307330587249
